question_ru,option_1_ru,option_2_ru,option_3_ru,option_4_ru,answer_ru
"В Германии люди могут открыто говорить против правительства, потому что …",здесь действует свобода вероисповедания.,люди платят налоги.,люди имеют право голоса.,здесь действует свобода слова.,здесь действует свобода слова.
"В Германии родители могут до 14 лет ребенка решать, будет ли он в школе посещать …",уроки истории.,уроки религии.,уроки политики.,уроки языка.,уроки религии.
Германия является правовым государством. Что это значит?,Все жители и государство должны соблюдать законы.,Государство не обязано соблюдать законы.,Только немцы должны соблюдать законы.,Суды создают законы.,Все жители и государство должны соблюдать законы.
Какое право относится к основным правам в Германии?,владение оружием,право кулака,свобода слова,самосуд,свобода слова
Выборы в Германии свободны. Что это означает?,"Можно принимать деньги за голосование за конкретного кандидата.","Только люди, никогда не сидевшие в тюрьме, могут голосовать.",Избиратель не должен подвергаться влиянию или быть принужденным к определенному голосу и не иметь от этого негативных последствий.,"Все, имеющие право голоса, должны голосовать.",Избиратель не должен подвергаться влиянию или быть принужденным к определенному голосу и не иметь от этого негативных последствий.
Как называется конституция Германии?,народный закон,федеральный закон,немецкий закон,основной закон,основной закон
"Какое право гарантируется основным законом Германии? Право на …",свободу вероисповедания и совести,развлечения,работу,жилье,свободу вероисповедания и совести
Что не включено в основной закон Германии?,Достоинство человека неприкосновенно.,Все должны иметь одинаковый доход.,Каждый имеет право на свое мнение.,Все равны перед законом.,Все должны иметь одинаковый доход.
Какое основное право в Германии действует только для иностранцев? Основное право на …,защиту семьи,человеческое достоинство,убежище,свободу слова,убежище
Что соответствует основному закону Германии?,телесное наказание,пытки,смертная казнь,денежный штраф,денежный штраф
Как называется конституция Федеративной Республики Германии?,основной закон,федеральная конституция,кодекс законов,договор о конституции,основной закон
Партия в Бундестаге хочет отменить свободу прессы. Возможно ли это?,"Да, если больше половины депутатов в Бундестаге согласны.","Да, но для этого нужно две трети голосов депутатов Бундестага.","Нет, потому что свобода прессы — это основное право. Оно не может быть отменено.","Нет, потому что только Бундесрат может отменить свободу прессы.","Нет, потому что свобода прессы — это основное право. Оно не может быть отменено."
"В парламенте термин ""оппозиция"" означает …",правящие партии.,фракцию с наибольшим числом депутатов.,"все партии, которые на последних выборах преодолели порог в 5%.","всех депутатов, не относящихся к правящей партии/правящим партиям.","всех депутатов, не относящихся к правящей партии/правящим партиям."
"Свобода слова в Германии означает, что я могу …",оскорблять прохожих на улице.,выражать свое мнение в письмах в редакцию.,"публично использовать символику нацистов, ХАМАС или Исламского государства.","выражать свое мнение, только если оно не противоречит правительству.",выражать свое мнение в письмах в редакцию.
Что запрещает основной закон Германии?,военную службу,принудительный труд,свободу выбора профессии,работу за границей,принудительный труд
Когда в Германии ограничена свобода слова?,при публичном распространении ложных утверждений о конкретных лицах,при высказывании мнений о федеральном правительстве,при обсуждении религий,при критике государства,при публичном распространении ложных утверждений о конкретных лицах
Немецкие законы запрещают …,свободу слова для граждан.,петиции граждан.,свободу собраний для граждан.,неравное обращение государства с гражданами.,неравное обращение государства с гражданами.
Какое основное право гарантировано статьей 1 основного закона Федеративной Республики Германии?,неприкосновенность человеческого достоинства,право на жизнь,свобода вероисповедания,свобода слова,неприкосновенность человеческого достоинства
